Shaft  joint Gearbox ;2;1
Stud idle wheel ;11;1
Shaft pully syronous;3;1
Shaft Foker;4;1
Shaft Twist constant QW;4;1
Shaft for twist change wheel ;8;1
Shaft for draft Carrier wheel ;3;1
Shaft for intermeted wheel L;2;1
Shaft Main drive;11;1
Shaft Spindle Drive;1;1
Shaft Clutch Gearbox RX 100;2;1
Shaft Front bottom roll GE L ( RX 100 );2;1
Shaft Middle bottom roll GE L ( RX 100 );2;1
Shaft Middle bottom roll GE R ( RX 100 );5;1
Shaft Back bottom roll GE L ( RX 100 );5;1
Shaft Back bottom roll GE R ( RX 100 );5;1
Shaft Front Bottom roll OE L ( RX 100 );3;1
Shaft Front Bottom roll  OE R ( RX 100 );3;1
Shaft Middle Bottom roll OE L ( RX 100 );5;1
Shaft Middle Bottom roll OE R ( RX 100 );3;1
Worm Gear 28 T;4;1
Gear pinion 23 T;8;1
Gear Draft 29 T;29;1
Gear Draft 30 T;4;1
Gear Draft 31 T;11;1
Gear Main Drive 31 T;5;1
Gear H 31 T;11;1
Gear J 33 T ;4;1
Gear pinion 37 T main shaft;2;1
Gear 51 T;6;1
Gear 52 T;6;1
Gear DC 64 T RX 100;2;1
Gear Twist 75 T;3;1
Gear Draft 112 T;1;1
Gear BRW 128 T;1;1
Gear Trompet 64 T ;1;1
Bevel Gear 40 T atas ;7;1
Gear 103 T ;2;1
Gear 42 T;4;1
Baut Payung 12 x 6;4;1
Baut payung 19;1;1
Baut payung 21;1;1
Bracket lifter rantai A;2;1
Bracket lifter rantai C;3;1
Bracket lifter rantai D;3;1
Bracket Sparator ;13;1
Bracket Slide RY 5 ;20;1
Bracket Bottom roll;4;1
Bracket Shaft front roll RY 5 ;2;1
Bracket Shaft Middle Roll RY 5 ;7;1
Bracket Shaft back roll RY 5  ;5;1
Bottom appron 36,7 ;1470;1
Bottom appron 73;1571;1
Couple Tinpully ;26;1
Dudukan jokey pully;4;1
Knee break;47;1
Jokey pully ;4;1
Lifter tape Ringrail;18;1
Lifter tape Lappet;32;1
Lifter tape lebar ;2;1
Mur shaft RY 5 ;20;1
Neadle bearing bottom roll RY 5 ;1;1
Pelatuk rachet ;2;1
Pendestal tinpuly;2;1
Plunder 1 ( flange mesin );11;1
Plunder 2;6;1
Handfluit RY 5;152;1
Ringflange RY 5 ( RJS 1 );7;1
Ringflange RY 5( RJS 2 );132;1
Rantai RS 40;1;1
Pen pengunci lifter tape;1;1
Pen pengunci lifter tape bercela;3;1
Sparator RY 5;100;1
Tinpully;7;1
Shaft bottom roll Ry 5 RJS 1;12;1
Shaft doffing RY 5;1;1
Shaft Twist constant RY 5;6;1
Shaft draft gearing stand;2;1
Shaft driving pully RY 5;4;1
Shaft Rachet;2;1
Shaft Tinpully RY 5 uk 181 CM;1;1
Shaft bottom roll RY 5 Gauge 70 L( RY no 11 , 12 , 18 , 19 );2;1
Shaft bottom roll RY 5 Gauge 70 R ( RY no 11 , 12 , 18 , 19 );2;1
Shaft for twist change wheel RY 5;1;1
  Shaft front GE R RY 5 RJS 1 ;1;1
    Shaft Middle GE L RY 5 RJS 1 ;1;1
